"","var.id","DryWeight_Leaves_g","DryWeight_Shoot_g","FreshWeight_Shoot_g","FreshWeight_Leaves_g","GrowthStage","NumberOfNodes","NumberOfTillers","PlantHeight_cm","TillerLength_cm"
"W1.097","GmJMC116",28.8336695332903,56.1761874582386,214.875209185806,92.0753863493432,4.47954261950361,7.64171045481598,12.2015944566541,58.0382347006506,33.1620724659267
"W1.098","GmJMC041",11.5953849715306,42.2912712864463,161.936083743701,45.2141595131819,5.91518807003429,6.29809082797272,9.42932889244782,35.6620109145579,21.0975417205826
"W1.099","GmWMC154",22.3775059236578,53.9714266767161,259.452748795749,92.8785976184621,2.08680020195248,9.32123498837005,14.2807936298088,52.5043298933374,35.2421639737446
"W1.100","GmJMC114",29.1859728774707,63.2872662289057,230.739236384272,89.3473624893628,4.00099413599338,8.98533008165923,13.2411940432314,51.0799353654883,33.5780907674902
"W1.101","GmWMC191",30.0872139904905,69.5425496962188,293.867513737221,105.845756125318,1.12970323493202,9.65713989508086,14.9738600208604,74.3993445657509,64.3634450831959
"W1.102","GmJMC063",15.3478252421038,44.1805482061392,168.571844289188,51.2925150632707,4.95809110301384,5.96218592126191,10.815461674551,38.0896192933048,31.9140175612359
"W1.103","C1329",26.9164838928664,58.0944743882146,257.745764396484,98.2478116877073,2.08680020195247,8.98533008165923,14.9738600208604,63.3315349511242,59.3712254644328
"W1.104","GmWMC027",26.0644013860114,55.7192797962783,207.696831082936,80.591636042211,4.95809110301383,8.64942517494842,10.1223952834994,35.6620109145578,17.3533770065102
"W1.105","GmWMC022",17.8794934595865,32.696210385281,125.007944421854,54.1724978120033,4.95809110301384,7.97761536152679,12.5481276521799,27.0002468683284,21.9295783237097
"W1.106","GmJMC044",19.9277687164496,41.0039520801298,151.973022481766,62.5519451060544,5.91518807003429,6.63399573468354,9.08279569692203,26.7596423114887,23.5936515299641
"W1.107","GmWMC107",15.2003494236096,47.9083345275292,170.953332457699,49.881468239143,4.95809110301383,4.61856629441866,13.2411940432314,42.8801476197491,44.3945666081436
"W1.108","GmWMC029",25.8431876582702,52.952450065519,183.919631172645,71.9299793833344,5.43663958652405,5.96218592126191,10.815461674551,30.8499197777638,26.5057796409092
"W1.109","GmWMC142",23.5327331685286,51.9951197261737,212.908220540295,89.7815307429406,3.04389716897294,8.64942517494842,16.0134596074377,55.5156530486729,47.3066947190887
"W1.110","GmJMC031",26.1053668911486,47.5130731374207,182.031774254253,90.8018261388484,4.47954261950361,6.63399573468354,11.5085280656025,41.1959157218711,43.5625300050164
"W1.111","GmJMC105",14.7169564629899,39.2053314425719,140.84936255543,48.9118258061526,4.00099413599338,7.30580554810516,12.2015944566541,52.0231207796581,36.0742005768718
"W1.112","GmJMC069",24.753505221619,48.8221498514497,177.08038904314,78.2326551977718,4.95809110301383,6.96990064139435,11.8550612611283,32.0529425619622,34.826145672181
"W1.113","GmWMC150",14.4056186239467,28.5187689045015,116.201713646838,60.09889447334,2.08680020195248,8.31352026823761,18.0926587805924,46.2130516498443,47.7227130206523
"W1.114","GmWMC083",18.8380862797984,26.132695558709,97.0179220868874,62.2407911909903,4.95809110301383,4.95447120112947,9.7758620879736,24.3535967430917,25.2577247362185
"W1.115","GmWMC113",6.38457271807092,23.9836533389874,84.9051854538909,27.9849159837038,4.00190647828599,3.41401701405987,12.3084999196192,25.2710787900735,29.0032354614808
"W1.116","GmWMC151",26.5314081445762,49.3189462775493,209.437729079538,95.3750650765343,3.04389716897293,7.64171045481598,15.3203932163862,58.0382347006506,50.2188228300338
"W1.117","GmWMC010",6.32722101087876,19.7359882912655,71.1870654490038,28.1441110100156,5.91518807003428,4.28266138770784,9.42932889244782,19.3009010494578,22.3455966252733
"W1.118","GmJMC016",16.9618661445119,45.4025948893186,170.267524156007,55.5256555356541,5.91518807003428,5.29037610784028,10.815461674551,33.7371744598402,33.5780907674902
"W1.119","GmWMC183",25.2696705863485,52.6224611985477,205.910714956553,82.9650891617695,2.08680020195248,9.65713989508086,15.3203932163861,53.2977942070806,46.0586398143979
"W1.120","GmWMC124",19.4853412609672,40.8552757774284,136.738280922763,57.9714700308089,4.00099413599339,5.29037610784028,14.2807936298088,46.9704250860241,45.6426215128343
"W1.121","GmWMC123",29.3826073021296,61.9274219968812,262.862949416797,107.119316335813,3.04389716897293,7.64171045481598,15.6669264119119,54.9103754617345,43.5625300050164
"W1.122","GmJMC004",8.93262713760859,25.0339414192332,94.2030935079669,33.3396577778297,5.91518807003428,5.29037610784028,9.42932889244782,25.5566195272902,19.4334685143282
"W1.123","GmJMC091",22.5659472472892,49.2137849902728,187.133886564639,75.9749802791673,4.95809110301383,7.64171045481598,12.2015944566541,44.564379517627,40.6504018940713
"W1.124","GmWMC129",23.907873792534,34.6833960896796,124.834608257691,63.1597806610633,3.04389716897293,4.61856629441866,12.2015944566541,50.8200979954594,49.3867862269066
"W1.125","GmWMC012",45.8998989734734,58.6021495681704,202.210364669405,117.604479659716,5.91518807003428,5.96218592126191,10.815461674551,28.203269652527,27.7538345456
"W1.126","GmWMC045",11.1529575160482,30.1179457213624,108.846231202324,37.3340057107452,4.47954261950361,5.96218592126191,9.77586208797361,30.4855318364169,14.4412488955652
"W1.127","GmJMC040",23.30332633976,42.9838852819575,154.957419047368,71.1122958390962,5.43663958652405,6.29809082797272,12.2015944566541,27.4814559820077,38.9863286878169
"W1.128","GmJMC079",26.7034632661527,58.707310855447,207.7458173902,82.3427813316414,4.47954261950361,7.64171045481598,9.7758620879736,33.0153607893212,29.0018894502908
"W1.129","GmWMC018",13.7337843396956,34.0253631793314,118.010704189041,42.066439674743,5.8373541407327,5.43725079551798,10.1873014553476,15.7571313212107,21.8794111588106
"W1.130","GmWMC015",15.569038969845,35.9054427728589,127.981036455011,52.08849019483,5.43663958652406,7.30580554810516,12.2015944566541,24.8348058567711,19.0174502127646
"W1.131","GmJMC102",23.631050380858,35.7567664701576,127.291459975838,73.362734620141,4.95809110301383,5.6262810145511,10.815461674551,40.3074781348971,28.5858711487272
"W1.132","GmJMC043",21.1321545674851,33.4069556372191,117.516807587994,63.0801831479074,5.43663958652406,4.61856629441866,10.815461674551,22.9099694020535,20.2655051174554
"W1.133","GmWMC066",18.4612036325356,40.4781456437469,158.137760842025,61.4882328847889,4.95809110301383,6.63399573468354,10.815461674551,27.4814559820079,17.7693953080739
"W1.134","GmWMC073",19.2887068363083,31.2529623736922,110.997860544444,59.1654327281478,4.95809110301383,6.96990064139435,10.1223952834994,25.1453580153374,21.9295783237098
"W1.135","GmWMC132",27.7030215915018,53.0467325989394,198.494941672329,88.3994284690514,4.00099413599339,5.62628101455109,14.9738600208604,46.7298205291844,50.2188228300338
"W1.136","GmWMC170",27.4981940658155,51.2118494485275,218.130914530099,104.094610835888,2.08680020195248,8.64942517494842,16.7065259984893,48.4140524270623,60.2032620675599
"W1.137","GmJMC033",19.1821965229514,47.0597917267458,169.28026165577,53.6876765955081,5.43663958652406,6.63399573468354,11.5085280656025,32.7033906780091,19.0174502127646
"W1.138","GmWMC144",23.6720158859953,51.5019495513595,225.52031057195,88.3270670934551,2.56534868546271,7.64171045481598,16.0134596074377,49.3764706544212,48.5547496237795
"W1.139","GmWMC118",27.8668836120509,55.8824611041213,221.518506086256,89.6223357166288,4.95809110301383,5.6262810145511,13.934260434283,63.4365774829312,54.7950241472333
"W1.140","GmJMC139",42.7783274820141,68.9405919828425,299.433111877871,157.822932216138,2.56534868546271,8.98533008165923,14.2807936298088,68.8654397584375,66.0275182894502
"W1.141","GmWMC171",33.9297783723656,64.1394352809745,271.356421460822,123.082235792356,2.56534868546271,8.64942517494842,17.3995923895409,58.2788392574905,59.7872437659964
"W1.142","GmJMC002",5.63080742354531,25.5633741069014,75.7955465092709,26.6100498473742,6.87228503705473,4.28266138770784,10.4689284790252,16.4136463673814,22.3455966252734
"W1.143","GmWMC048",16.3473835674529,45.7579675152877,179.005927736351,50.6774433707022,5.91518807003428,5.29037610784028,11.1619948700767,33.9571677454134,31.0819809581087
"W1.144","GmJMC057",21.2960165880341,33.7115607451927,119.804091319459,67.1541285939788,4.47954261950361,4.28266138770784,13.5877272387572,34.2183835735196,35.2421639737446
"W1.145","GmWMC186",14.5776737455232,31.423396184106,117.369848666203,54.2303869124804,2.08680020195249,7.97761536152679,16.0134596074377,44.3237749607873,39.8183652909441
"W1.146","GmWMC075",26.3757392250546,49.079613692713,173.270761609019,74.0429315507462,5.43663958652406,6.96990064139435,11.5085280656025,32.1020499075026,28.5858711487272
"W1.147","GmWMC011",12.291798558864,25.4110715529146,94.1541072007032,43.0794989330911,4.4795426195036,4.61856629441865,10.1223952834994,25.4161401984916,29.8339260534179
"W1.148","GmJMC081",24.663381110317,47.4840631271375,176.684730407549,78.8187823401018,4.95809110301383,6.29809082797272,12.8946608477057,37.6674034212348,36.906237179999
"W1.149","GmJMC130",19.8704170092574,51.1574556792466,181.21784791818,60.800799816624,4.95809110301383,5.29037610784028,11.5085280656025,44.109521863341,41.4824384971984
"W1.150","GmWMC071",20.550444394536,49.1195024568524,183.441072632454,67.9935205508959,4.00099413599339,8.31352026823761,11.1619948700767,45.2861931881462,28.5858711487272
"W1.151","GmJMC062",16.3965421736177,25.559747855616,88.4189410733717,55.6703782868467,3.52244565248315,5.96218592126191,10.815461674551,38.0680564829549,25.6737430377821
"W1.152","GmWMC178",27.5227733688979,48.3652421894894,180.381312517215,91.7352878840406,3.04389716897294,6.63399573468354,14.9738600208604,62.8503258374448,57.7071522581784
"W1.153","GmWMC157",13.9058394612721,24.4392362084278,90.7702838220279,49.7005648001522,1.12970323493204,6.63399573468354,11.1619948700767,34.9401972440387,24.8417064346549
"W1.154","GmWMC001",6.07323487902773,26.4844419333927,90.8682564365553,27.5579838676856,6.87228503705473,5.29037610784028,8.73626250139625,20.744528390496,24.8417064346549
"W1.155","GmJMC161",25.9906634767643,49.3225725288347,202.040796682723,91.2794112177839,2.08680020195248,6.63399573468353,15.3203932163862,65.2563714058421,53.5469692425425
"W1.156","GmJMC149",24.8026638277837,67.4284451968312,267.271717070528,82.6684075218247,3.04389716897294,6.63399573468354,14.6273268253346,56.113398245933,44.3945666081436
"W1.157","GmJMC065",38.5670735539036,57.4018603927034,205.978542151226,105.664852686328,5.43663958652406,5.62628101455109,11.1619948700767,39.0401302254158,24.8417064346549
"W1.158","GmJMC058",28.5469109973294,57.9494243367986,213.326488240777,89.4124877273995,4.47954261950361,6.96990064139435,12.5481276521799,43.1207521765888,38.5703103862533
"W1.159","GmJMC067",37.7395703501309,82.0349853744179,314.57741717731,118.284676590322,4.95809110301383,7.97761536152679,12.5481276521799,61.4066984964065,34.826145672181
"W1.160","GmJMC007",15.3150528379939,43.4770554567718,173.029598250182,46.7337484007041,5.91518807003428,6.96990064139435,9.7758620879736,30.8499197777637,18.601431911201
"W1.161","GmWMC136",31.3079860435809,75.14510793216,333.761208737261,113.118074372746,2.08680020195248,8.98533008165923,14.2807936298088,53.4667481206961,72.267792812904
"W1.162","C1290",34.2738886155186,60.0925388464694,266.661272318473,126.085232879602,3.04389716897293,8.3135202682376,14.2807936298088,48.6546569839021,64.7794633847594
"W1.163","GmJMC184",46.3587126310108,83.5253746527168,345.103422957543,158.893880574963,2.56534868546271,8.3135202682376,18.0926587805924,72.4745081110331,75.5959392254128
"W1.164","GmWMC087",43.2125618364691,98.7048625333964,342.51091685005,116.95322727935,4.95809110301383,9.32123498837004,13.5877272387572,44.3237749607874,47.3066947190887
